price	bus_min	walk_min	shikirei	area	years	floor	ac	closet	flooring	balcony	train_min	num_exchange	num_stations	train_fare	km	station
75000	0	7	4	16.43	3	0	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
80000	0	3	4	18.2	12	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
80000	0	10	4	19.8	6	0	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
79000	0	6	5	17.9	2	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
80000	0	2	4	13.2	5	0	1	0	0	0	6	2	0	160	4.9	shimo_kitazawa
82000	0	12	4	23.18	0	0	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
85000	0	7	4	20.44	6	1	0	1	1	0	6	2	0	160	4.9	shimo_kitazawa
83000	0	8	4	18.03	5	0	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
85000	0	10	4	23.36	25	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
89000	0	8	4	20.46	4	1	1	0	1	1	6	2	0	160	4.9	shimo_kitazawa
92000	0	5	4	21.65	7	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
83000	0	13	3	25.55	4	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
90000	0	8	4	21	4	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
100000	0	8	4	25.87	3	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
100000	0	1	4	28	13	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
107000	0	8	4	24.48	3	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
110000	0	6	4	30.38	3	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
115000	0	8	4	28.08	5	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
135000	0	7	5	25.98	4	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
140000	0	5	4	44	15	1	1	0	0	1	6	2	0	160	4.9	shimo_kitazawa
150000	0	1	4	42	13	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
58000	0	5	4	13.5	8	1	1	1	0	0	6	2	0	160	4.9	shimo_kitazawa
63500	0	7	4	14.87	10	1	0	0	0	0	6	2	0	160	4.9	shimo_kitazawa
70000	0	14	4	21	10	0	1	1	1	0	6	2	0	160	4.9	shimo_kitazawa
71500	0	3	3	15.12	12	1	0	0	0	1	6	2	0	160	4.9	shimo_kitazawa
74000	0	9	4	18	7	0	1	0	0	0	6	2	0	160	4.9	shimo_kitazawa
75000	0	7	4	16.12	3	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
75000	0	6	4	17	2	1	1	0	0	1	6	2	0	160	4.9	shimo_kitazawa
78000	0	7	4	19	6	1	1	0	1	1	6	2	0	160	4.9	shimo_kitazawa
80000	0	3	4	18.2	12	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
81000	0	5	4	20.07	0	0	1	1	1	0	6	2	0	160	4.9	shimo_kitazawa
85000	0	5	4	20.07	0	1	1	1	1	0	6	2	0	160	4.9	shimo_kitazawa
85000	0	3	4	17.39	2	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
98000	0	6	4	26.43	6	0	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
115000	0	8	4	28.08	5	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
69000	0	7	4	15.9	3	1	1	0	1	0	6	2	0	160	4.9	shimo_kitazawa
71000	0	10	4	18.5	6	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
72000	0	15	4	16.13	10	1	0	1	0	0	6	2	0	160	4.9	shimo_kitazawa
77000	0	3	4	18.25	7	0	1	1	0	0	6	2	0	160	4.9	shimo_kitazawa
75000	0	10	4	19	5	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
80000	0	9	4	22.32	7	1	0	1	1	1	6	2	0	160	4.9	shimo_kitazawa
80000	0	3	4	19.44	12	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
82000	0	7	4	18.56	5	1	1	1	0	0	6	2	0	160	4.9	shimo_kitazawa
82000	0	10	4	23.36	25	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
88000	0	6	3	22.5	5	0	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
86000	0	2	4	13.2	5	0	1	0	0	0	6	2	0	160	4.9	shimo_kitazawa
95000	0	2	4	22.5	5	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
92000	0	8	4	24.22	2	0	1	0	1	1	6	2	0	160	4.9	shimo_kitazawa
90000	0	4	4	27.26	8	0	0	1	0	0	6	2	0	160	4.9	shimo_kitazawa
90000	0	4	4	24	13	0	0	1	0	1	6	2	0	160	4.9	shimo_kitazawa
95000	0	8	4	21.5	5	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
98000	0	8	4	25.87	3	0	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
77000	0	9	4	19.25	7	0	1	1	1	0	6	2	0	160	4.9	shimo_kitazawa
80000	0	6	2	14.74	8	0	1	0	0	0	6	2	0	160	4.9	shimo_kitazawa
89000	0	8	4	20.46	4	1	1	0	1	1	6	2	0	160	4.9	shimo_kitazawa
95000	0	8	4	23	3	0	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
67000	0	13	4	18	10	0	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
68000	0	8	3	17.9	9	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
70000	0	4	3	19.73	6	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
72000	0	9	4	18	6	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
70000	0	8	4	18.5	13	1	0	1	0	0	6	2	0	160	4.9	shimo_kitazawa
73000	0	8	4	18	7	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
75000	0	5	3	21.64	4	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
75000	0	10	4	18	5	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
75000	0	10	4	18.09	7	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
77000	0	7	4	16.12	3	0	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
80000	0	3	4	22	3	1	1	1	1	0	6	2	0	160	4.9	shimo_kitazawa
80000	0	7	3	22.89	5	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
83000	0	8	4	18.33	1	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
80000	0	7	4	18.63	6	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
82000	0	7	4	18.36	5	1	1	1	0	0	6	2	0	160	4.9	shimo_kitazawa
83000	0	8	4	18.72	2	1	1	1	1	0	6	2	0	160	4.9	shimo_kitazawa
84000	0	11	3	21.12	8	1	0	1	1	1	6	2	0	160	4.9	shimo_kitazawa
85500	0	10	4	19.8	5	1	1	1	1	0	6	2	0	160	4.9	shimo_kitazawa
86000	0	6	4	15.3	5	1	1	1	0	0	6	2	0	160	4.9	shimo_kitazawa
89000	0	10	4	21	3	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
89000	0	11	4	20.26	3	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
90000	0	4	4	22.43	3	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
90000	0	3	4	18.5	6	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
95000	0	7	4	27.14	6	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
97000	0	10	4	21.87	4	1	0	1	1	1	6	2	0	160	4.9	shimo_kitazawa
98000	0	8	4	27.33	4	1	1	1	0	0	6	2	0	160	4.9	shimo_kitazawa
107000	0	10	4	24.48	3	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
105000	0	1	4	28	13	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
135000	0	7	4	32.71	6	1	1	1	1	1	6	2	0	160	4.9	shimo_kitazawa
161000	0	5	4	32.72	4	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
150000	0	10	4	34.67	2	1	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
62500	0	7	4	16.52	12	0	0	0	1	0	6	2	0	160	4.9	shimo_kitazawa
